State,State Abbreviation,District Number,Special Election,Candidate,Party,writein,Candidate Votes,Total Votes,Candidate Percent
Alabama,AL,1,False,Bradley Byrne,republican,False,208083,215893,0.9638246724071646
Alabama,AL,1,False,0,0,True,7810,215893,0.03617532759283534
Alabama,AL,2,False,Nathan Mathis,democrat,False,112089,276584,0.40526205420414774
Alabama,AL,2,False,0,0,True,29609,276584,0.10705246868943974
Alabama,AL,2,False,Martha Roby,republican,False,134886,276584,0.4876854771064125
Alabama,AL,3,False,0,0,True,391,287104,0.001361875835934017
Alabama,AL,3,False,Mike Rogers,republican,False,192164,287104,0.6693184351315203
Alabama,AL,3,False,Jesse Smith,democrat,False,94549,287104,0.3293196890325457
Alabama,AL,4,False,0,0,True,3519,239444,0.014696547000551277
Alabama,AL,4,False,Robert B. Aderholt,republican,False,235925,239444,0.9853034529994488
Alabama,AL,5,False,Mo Brooks,republican,False,205647,308326,0.6669791065301013
Alabama,AL,5,False,"Will Boyd, Jr.",democrat,False,102234,308326,0.33157761590005386
Alabama,AL,5,False,0,0,True,445,308326,0.0014432775698449045
Alabama,AL,6,False,David J. Putnam,democrat,False,83709,329306,0.2541982229294334
Alabama,AL,6,False,Gary J. Palmer,republican,False,245313,329306,0.7449393573150808
Alabama,AL,6,False,0,0,True,284,329306,0.0008624197554857792
Alabama,AL,7,False,Terri A. Sewell,democrat,False,229330,233028,0.9841306624096675
Alabama,AL,7,False,0,0,True,3698,233028,0.015869337590332492
Alaska,AK,0,False,Bernie Souphanavong,none,False,9093,308198,0.02950376056950402
Alaska,AK,0,False,Don Young,republican,False,155088,308198,0.5032089760478653
Alaska,AK,0,False,0,0,True,1228,308198,0.003984451553871213
Alaska,AK,0,False,Steve Lindbeck,democrat,False,111019,308198,0.36021972887559295
Alaska,AK,0,False,Jim C. McDermott,libertarian,False,31770,308198,0.10308308295316647
Arizona,AZ,1,False,Paul Babeu,republican,False,121745,280710,0.43370382245021555
Arizona,AZ,1,False,Tom O'Halleran,democrat,False,142219,280710,0.5066403049410424
Arizona,AZ,1,False,Ray Parrish,green,False,16746,280710,0.05965587260874212
Arizona,AZ,2,False,Martha McSally,republican,False,179806,315679,0.5695849264601066
Arizona,AZ,2,False,Matt Heinz,democrat,False,135873,315679,0.4304150735398934
Arizona,AZ,3,False,0,0,True,283,151035,0.0018737378753269109
Arizona,AZ,3,False,Ra_l M. Grijalva,democrat,False,148973,151035,0.9863475353394908
Arizona,AZ,3,False,0,0,True,144,151035,0.0009534213923924918
Arizona,AZ,3,False,Jaime Vasquez,republican,True,332,151035,0.002198165988016023
Arizona,AZ,3,False,0,0,True,1303,151035,0.008627139404773727
Arizona,AZ,4,False,Paul A. Gosar,republican,False,203487,284783,0.714533522015008
Arizona,AZ,4,False,Mikel Weisser,democrat,False,81296,284783,0.2854664779849921
Arizona,AZ,5,False,Andy Biggs,republican,False,205184,320124,0.6409516312428933
Arizona,AZ,5,False,Talia Fuentes,democrat,False,114940,320124,0.3590483687571066
Arizona,AZ,6,False,W. John Williamson,democrat,False,122866,324444,0.37869709410560837
Arizona,AZ,6,False,David Schweikert,republican,False,201578,324444,0.6213029058943916
Arizona,AZ,7,False,Eve Nunez,republican,False,39286,158811,0.24737581149920346
Arizona,AZ,7,False,Ruben Gallego,democrat,False,119465,158811,0.7522463809181984
Arizona,AZ,7,False,0,0,True,60,158811,0.0003778075825981827
Arizona,AZ,8,False,Hayden Keener III,republican,True,75,298971,0.00025086045134812407
Arizona,AZ,8,False,Trent Franks,republican,False,204942,298971,0.6854912349358299
Arizona,AZ,8,False,Mark Salazar,green,False,93954,298971,0.314257904612822
Arizona,AZ,9,False,0,0,True,46,277507,0.0001657615843924658
Arizona,AZ,9,False,Kyrsten Sinema,democrat,False,169055,277507,0.6091918402058326
Arizona,AZ,9,False,0,0,True,56,277507,0.00020179671143430615
Arizona,AZ,9,False,Dave Giles,republican,False,108350,277507,0.3904406014983406
Arkansas,AR,1,False,Mark West,libertarian,False,57181,241047,0.23721929748140405
Arkansas,AR,1,False,"Eric A. """"Rick"""" Crawford",republican,False,183866,241047,0.762780702518596
Arkansas,AR,2,False,0,0,True,303,302464,0.0010017721117223867
Arkansas,AR,2,False,J. French Hill,republican,False,176472,302464,0.5834479475243335
Arkansas,AR,2,False,Chris Hayes,libertarian,False,14342,302464,0.047417213288192976
Arkansas,AR,2,False,Dianne Curry,democrat,False,111347,302464,0.36813306707575116
Arkansas,AR,3,False,Steve Womack,republican,False,217192,280907,0.7731811596008643
Arkansas,AR,3,False,Steve Isaacson,libertarian,False,63715,280907,0.22681884039913566
Arkansas,AR,4,False,Kerry Hicks,libertarian,False,61274,244159,0.25095941579052994
Arkansas,AR,4,False,Bruce Westerman,republican,False,182885,244159,0.7490405842094701
California,CA,1,False,Jim Reed,democrat,False,128588,314036,0.4094689780789464
California,CA,1,False,Doug LaMalfa,republican,False,185448,314036,0.5905310219210537
California,CA,2,False,Jared Huffman,democrat,False,254194,330766,0.7685009946608781
California,CA,2,False,Dale K. Mensing,republican,False,76572,330766,0.2314990053391219
California,CA,3,False,John Garamendi,democrat,False,152513,256966,0.5935143170691842
California,CA,3,False,N. Eugene Cleek,republican,False,104453,256966,0.4064856829308158
California,CA,4,False,Tom McClintock,republican,False,220133,350978,0.6271988557687377
California,CA,4,False,Robert W. Derlet,democrat,False,130845,350978,0.37280114423126237
California,CA,5,False,Carlos Santamaria,republican,False,67565,292091,0.23131489843918504
California,CA,5,False,Mike Thompson,democrat,False,224526,292091,0.7686851015608149
California,CA,6,False,Doris O. Matsui,democrat,False,177565,235413,0.7542701550041842
California,CA,6,False,"Robert """"Bob"""" Evans",republican,False,57848,235413,0.24572984499581588
California,CA,7,False,Ami Bera,democrat,False,152133,297301,0.5117137177473335
California,CA,7,False,Scott R. Jones,republican,False,145168,297301,0.4882862822526665
California,CA,8,False,Rita Ramirez,democrat,False,83035,220007,0.3774198093697019
California,CA,8,False,Paul Cook,republican,False,136972,220007,0.6225801906302981
California,CA,9,False,Jerry McNerney,democrat,False,133163,232155,0.5735952273265706
California,CA,9,False,"Antonio C. """"Tony"""" Amador",republican,False,98992,232155,0.4264047726734294
California,CA,10,False,Jeff Denham,republican,False,124671,241141,0.5170045740873597
California,CA,10,False,Michael Eggman,democrat,False,116470,241141,0.48299542591264033
California,CA,11,False,Mark DeSaulnier,democrat,False,214868,298209,0.7205282201409079
California,CA,11,False,Roger Allen Petersen,republican,False,83341,298209,0.2794717798590921
California,CA,12,False,Nancy Pelosi,democrat,False,274035,338845,0.8087326063539376
California,CA,12,False,Preston Picus,none,False,64810,338845,0.19126739364606235
California,CA,13,False,Sue Caro,republican,False,29754,322871,0.09215445177795466
California,CA,13,False,Barbara Lee,democrat,False,293117,322871,0.9078455482220453
California,CA,14,False,Jackie Speier,democrat,False,231630,286447,0.8086312651205982
California,CA,14,False,Angel Cardenas,republican,False,54817,286447,0.1913687348794018
California,CA,15,False,Danny R. Turner,republican,False,70619,269197,0.2623320467910118
California,CA,15,False,Eric Swalwell,democrat,False,198578,269197,0.7376679532089883
California,CA,16,False,Jim Costa,democrat,False,97473,167956,0.5803484245873919
California,CA,16,False,Johnny M. Tacherra,republican,False,70483,167956,0.41965157541260806
California,CA,17,False,Ro Khanna,democrat,False,142268,233192,0.6100895399499126
California,CA,17,False,Michael M. Honda,democrat,False,90924,233192,0.3899104600500875
California,CA,18,False,Richard B. Fox,republican,False,93470,323930,0.2885499953693699
California,CA,18,False,Anna G. Eshoo,democrat,False,230460,323930,0.7114500046306301
California,CA,19,False,Zoe Lofgren,democrat,False,181802,245863,0.7394443246848855
California,CA,19,False,G. Burt Lancaster,republican,False,64061,245863,0.26055567531511453
California,CA,20,False,Casey Lucius,republican,False,74811,255791,0.29246924246748324
California,CA,20,False,Jimmy Panetta,democrat,False,180980,255791,0.7075307575325168
California,CA,21,False,David G. Valadao,republican,False,75126,132408,0.5673826354903027
California,CA,21,False,Emilio Huerta,democrat,False,57282,132408,0.4326173645096973
California,CA,22,False,Louie J. Campos,democrat,False,76211,234966,0.32434905475685843
California,CA,22,False,Devin Nunes,republican,False,158755,234966,0.6756509452431415
California,CA,23,False,Kevin McCarthy,republican,False,167116,241584,0.6917511093449897
California,CA,23,False,Wendy Reed,democrat,False,74468,241584,0.30824889065501027
California,CA,24,False,Salud Carbajal,democrat,False,166034,310814,0.5341908665632822
California,CA,24,False,Justin Donald Fareed,republican,False,144780,310814,0.46580913343671776
California,CA,25,False,Stephen Knight,republican,False,138755,261161,0.5313006153292413
California,CA,25,False,Bryan Caforio,democrat,False,122406,261161,0.46869938467075867
California,CA,26,False,Rafael A. Dagnesses,republican,False,111059,280307,0.39620487536879206
California,CA,26,False,Julia Brownley,democrat,False,169248,280307,0.6037951246312079
California,CA,27,False,Jack Orswell,republican,False,81655,250632,0.3257963867343356
California,CA,27,False,Judy Chu,democrat,False,168977,250632,0.6742036132656644
California,CA,28,False,Lenore Solis,republican,False,59526,270409,0.22013320562555241
California,CA,28,False,Adam B. Schiff,democrat,False,210883,270409,0.7798667943744476
California,CA,29,False,Tony C_rdenas,democrat,False,128407,171824,0.747317022069094
California,CA,29,False,Richard Alarcon,democrat,False,43417,171824,0.25268297793090605
California,CA,30,False,Mark Reed,republican,False,77325,282604,0.2736160846980227
