State,State Abbreviation,District Number,Special Election,Candidate,Party,writein,Candidate Votes,Total Votes,Candidate Percent
Alabama,AL,statewide,False,Ron Crumpton,democrat,False,748709,2087444,0.3586726158881388
Alabama,AL,statewide,False,Richard C. Shelby,republican,False,1335104,2087444,0.639587936251224
Alabama,AL,statewide,False,0,0,True,3631,2087444,0.0017394478606372196
Alaska,AK,statewide,False,Joe Miller,libertarian,False,90825,311441,0.2916282698809726
Alaska,AK,statewide,False,Ted Gianoutsos,independent,False,1758,311441,0.005644728857151114
Alaska,AK,statewide,False,Ray Metcalfe,democrat,False,36200,311441,0.11623389341801497
Alaska,AK,statewide,False,Margaret Stock,independent,False,41194,311441,0.1322690333000472
Alaska,AK,statewide,False,Breck A. Craig,independent,False,2609,311441,0.00837718861678456
Alaska,AK,statewide,False,Lisa Murkowski,republican,False,138149,311441,0.44358000391727487
Alaska,AK,statewide,False,0,0,True,706,311441,0.0022668820097546567
Arizona,AZ,statewide,False,Anthony Camboni,none,True,45,2530730,1.7781430654396162e-05
Arizona,AZ,statewide,False,Ann Kirkpatrick,democrat,False,1031245,2530730,0.4074891434487282
Arizona,AZ,statewide,False,0,0,True,4,2530730,1.5805716137241033e-06
Arizona,AZ,statewide,False,0,0,True,694,2530730,0.0002742291749811319
Arizona,AZ,statewide,False,Leonard Clark,independent,True,83,2530730,3.279686098477514e-05
Arizona,AZ,statewide,False,Sydney Dudikoff,republican,True,494,2530730,0.00019520059429492675
Arizona,AZ,statewide,False,0,0,True,34,2530730,1.3434858716654879e-05
Arizona,AZ,statewide,False,John McCain,republican,False,1359267,2530730,0.5371047089179802
Arizona,AZ,statewide,False,0,0,True,223,2530730,8.811686746511876e-05
Arizona,AZ,statewide,False,0,0,True,7,2530730,2.766000324017181e-06
Arizona,AZ,statewide,False,Gary Swing,green,False,138634,2530730,0.05478024127425683
Arkansas,AR,statewide,False,John Boozman,republican,False,661984,1107522,0.5977163433322318
Arkansas,AR,statewide,False,0,0,True,1070,1107522,0.000966120763289578
Arkansas,AR,statewide,False,Conner Eldridge,democrat,False,400602,1107522,0.36171019627601075
Arkansas,AR,statewide,False,Frank Gilbert,libertarian,False,43866,1107522,0.03960733962846788
California,CA,statewide,False,Loretta Sanchez,democrat,False,4701417,12244170,0.3839718821283925
California,CA,statewide,False,Kamala D. Harris,democrat,False,7542753,12244170,0.6160281178716075
Colorado,CO,statewide,False,Paul Noel Fiorino,none,False,3216,2743023,0.0011724291046775765
Colorado,CO,statewide,False,Dan Chapin,none,False,8361,2743023,0.0030480969353884383
