Congressional District,State,State Abbreviation,District Number,Special Election,Candidate,Party,Candidate Votes,Total Votes,Candidate Percent
CA-1,California,CA,1,False,Audrey Denney,democrat,263096,583188,0.4511341111271151
CA-1,California,CA,1,False,Doug La Malfa,republican,320092,583188,0.5488658888728849
CA-10,California,CA,10,False,Jeff Denham,republican,211910,443800,0.4774898602974313
CA-10,California,CA,10,False,Josh Harder,democrat,231890,443800,0.5225101397025688
CA-11,California,CA,11,False,John Fitzgerald,republican,142624,551362,0.25867578832055893
CA-11,California,CA,11,False,Mark DeSaulnier,democrat,408738,551362,0.7413242116794411
CA-12,California,CA,12,False,Lisa Remmer,republican,83560,634144,0.13176817883635264
CA-12,California,CA,12,False,Nancy Pelosi,democrat,550584,634144,0.8682318211636474
CA-13,California,CA,13,False,Barbara Lee,democrat,521160,589674,0.8838103765809583
CA-13,California,CA,13,False,Laura Wells,green,68514,589674,0.11618962341904171
CA-14,California,CA,14,False,Cristina Osmena,republican,110878,533646,0.20777444223324076
CA-14,California,CA,14,False,Jackie Speier,democrat,422768,533646,0.7922255577667593
CA-15,California,CA,15,False,Eric Swalwell,democrat,355978,487858,0.7296754383447642
CA-15,California,CA,15,False,Rudy L. Peters Jr.,republican,131880,487858,0.2703245616552357
CA-16,California,CA,16,False,Elizabeth Heng,republican,121386,285918,0.4245482970641932
CA-16,California,CA,16,False,Jim Costa,democrat,164532,285918,0.5754517029358067
CA-17,California,CA,17,False,Ro Khanna,democrat,318210,422324,0.753473636355026
CA-17,California,CA,17,False,Ron Cohen,republican,104114,422324,0.246526363644974
CA-18,California,CA,18,False,Anna G. Eshoo,democrat,450284,604476,0.7449162580482931
CA-18,California,CA,18,False,Christine Russell,republican,154192,604476,0.2550837419517069
CA-19,California,CA,19,False,Justin James Aguilera,republican,115646,440638,0.2624512638492368
CA-19,California,CA,19,False,Zoe Lofgren,democrat,324992,440638,0.7375487361507632
CA-2,California,CA,2,False,Dale K. Mensing,republican,145152,631314,0.22992045162945857
CA-2,California,CA,2,False,Jared Huffman,democrat,486162,631314,0.7700795483705415
