State,State Abbreviation,Special Election,Candidate,Party,Candidate Votes,Total Votes,Candidate Percent
Arizona,AZ,False,Martha McSally,republican,1135200,2384308,0.4761129854028926
Arizona,AZ,False,Kyrsten Sinema,democrat,1191100,2384308,0.49955794301742895
Arizona,AZ,False,Angela Green,other,57442,2384308,0.02409168614122001
Arizona,AZ,False,,other,566,2384308,0.0002373854384584542
California,CA,False,Dianne Feinstein,democrat,6019422,11113364,0.541638157447196
California,CA,False,Kevin De Leon,democrat,5093942,11113364,0.458361842552804
Connecticut,CT,False,Christopher S Murphy,democrat,787685,1386840,0.5679710709238268
Connecticut,CT,False,Matthew Corey,republican,545717,1386840,0.3934967263707421
Connecticut,CT,False,Christopher S Murphy,other,37894,1386840,0.027323988347610396
Connecticut,CT,False,Richard Lion,other,8838,1386840,0.006372761097170546
Connecticut,CT,False,Jeff Russell,other,6618,1386840,0.004771999653889417
Connecticut,CT,False,,other,88,1386840,6.345360676069337e-05
Delaware,DE,False,Thomas R Carper,democrat,217385,362592,0.5995306018886242
Delaware,DE,False,Robert B Arlett,republican,137127,362592,0.37818539846438975
Delaware,DE,False,Demitri G Theodoropoulos,other,4170,362592,0.011500529520783691
Delaware,DE,False,Nadine M Frost,other,3910,362592,0.010783470126202453
Florida,FL,False,Rick Scott,republican,4099505,8190005,0.5005497554641297
Florida,FL,False,Bill Nelson,democrat,4089472,8190005,0.49932472568698066
Florida,FL,False,,other,1028,8190005,0.00012551884888959165
Hawaii,HI,False,Mazie K. Hirono,democrat,276316,388351,0.7115109784705074
Hawaii,HI,False,Ron Curtis,republican,112035,388351,0.28848902152949263
Indiana,IN,False,Mike Braun,republican,1158000,2282565,0.507323997345092
Indiana,IN,False,Joe Donnelly,democrat,1023553,2282565,0.44842227932172796
Indiana,IN,False,Lucy M. Brenton,other,100942,2282565,0.044223056079454474
Indiana,IN,False,,other,70,2282565,3.06672537255237e-05
Maine,ME,False,Eric L. Brakey,republican,223502,634409,0.35229954177825346
Maine,ME,False,"Angus S. King, Jr.",other,344575,634409,0.5431433034525046
Maine,ME,False,Zak Ringelstein,democrat,66268,634409,0.10445627347657425
Maine,ME,False,Others,other,64,634409,0.00010088129266766392
Maryland,MD,False,Tony Campbell,republican,697017,2299889,0.3030654957695784
Maryland,MD,False,Ben Cardin,democrat,1491614,2299889,0.6485591261143473
Maryland,MD,False,Arvin Vohra,other,22943,2299889,0.00997569882720427
Maryland,MD,False,Neal Simon,other,85964,2299889,0.03737745604244379
Maryland,MD,False,,other,2351,2299889,0.0010222232464262406
Massachusetts,MA,False,Elizabeth A. Warren,democrat,1633371,2707090,0.6033678230129031
Massachusetts,MA,False,Geoff Diehl,republican,979210,2707090,0.3617205190813752
Massachusetts,MA,False,Shiva Ayyadurai,other,91710,2707090,0.033877706319331825
Massachusetts,MA,False,Others,other,2799,2707090,0.0010339515863898134
Michigan,MI,False,John James,republican,1938818,4237271,0.45756289838436104
Michigan,MI,False,Debbie Stabenow,democrat,2214478,4237271,0.5226189214709184
Michigan,MI,False,George E. Huffman III,other,27251,4237271,0.00643126200802356
Michigan,MI,False,Marcia Squier,other,40204,4237271,0.009488182370209505
Michigan,MI,False,John Howard Wilhelm,other,16502,4237271,0.003894487749308458
Michigan,MI,False,,other,18,4237271,4.2480171789814716e-06
Minnesota,MN,False,Jim Newberger,republican,940437,5184235,0.1814032349999566
Minnesota,MN,False,Amy Klobuchar,other,1566174,5184235,0.3021032032691419
Minnesota,MN,False,Dennis Schuller,other,66236,5184235,0.012776426994532462
Minnesota,MN,False,Paula M Overby,other,23101,5184235,0.004456009420869231
Minnesota,MN,False,,other,931,5184235,0.00017958290856799508
Minnesota,MN,True,Karin Housley,republican,1095777,5184235,0.21136715445962614
Minnesota,MN,True,Tina Smith,other,1370540,5184235,0.2643668738010526
Minnesota,MN,True,Sarah Wellington,other,95614,5184235,0.01844322257768022
Minnesota,MN,True,Jerry Trooien,other,24324,5184235,0.004691916936635781
Minnesota,MN,True,,other,1101,5184235,0.00021237463193701675
Mississippi,MS,False,David Baria,democrat,369567,1843803,0.2004373569193672
Mississippi,MS,False,Roger F. Wicker,republican,547619,1843803,0.297005157275479
Mississippi,MS,False,Danny Bedwell,other,12981,1843803,0.007040339992938508
Mississippi,MS,False,Shawn O'Hara,other,6048,1843803,0.003280176895253994
Mississippi,MS,True,Cindy Hyde-Smith,republican,486769,1843803,0.26400271612531273
Mississippi,MS,True,Mike Espy,democrat,420819,1843803,0.22823425279164858
Missouri,MO,False,Josh Hawley,republican,1254927,2442289,0.5138323105905976
Missouri,MO,False,Claire McCaskill,democrat,1112935,2442289,0.4556934089290825
Missouri,MO,False,Japheth Campbell,other,27316,2442289,0.01118458953874828
Missouri,MO,False,Jo Crain,other,12706,2442289,0.0052024965104457335
Missouri,MO,False,Craig O'Dear,other,34398,2442289,0.01408432826745729
Missouri,MO,False,,other,7,2442289,2.8661636685912274e-06
Montana,MT,False,Jon Tester,democrat,253876,504384,0.5033387260499936
Montana,MT,False,Rick Breckenridge,other,14545,504384,0.02883715581778962
Montana,MT,False,Matt Rosendale,republican,235963,504384,0.46782411813221675
Nebraska,NE,False,Deb Fischer,republican,403151,698883,0.576850488565325
Nebraska,NE,False,Jane Raybould,democrat,269917,698883,0.38621199828869784
