State Abbreviation,State,District Number,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Congressional District
AL,Alabama,1,544464,104060,125900,188031,126473,AL-1
AL,Alabama,2,516295,109222,118999,173351,114723,AL-2
AL,Alabama,3,543854,121328,121212,182379,118935,AL-3
AL,Alabama,4,515701,95990,114921,177247,127543,AL-4
AL,Alabama,5,551968,109986,129788,193348,118846,AL-5
AL,Alabama,6,535753,101646,133635,182710,117762,AL-6
AL,Alabama,7,504177,126572,114337,162887,100381,AL-7
AK,Alaska,At-large,532244,127476,144647,174789,85332,AK-At-large
AZ,Arizona,1,568661,124100,129362,169734,145465,AZ-1
AZ,Arizona,2,550044,116061,114471,166939,152573,AZ-2
AZ,Arizona,3,500787,146929,122468,143475,87915,AZ-3
AZ,Arizona,4,633528,95038,118494,201308,218688,AZ-4
AZ,Arizona,5,587681,106103,155762,190794,135022,AZ-5
AZ,Arizona,6,577899,104945,124931,202991,145032,AZ-6
AZ,Arizona,7,454957,153294,120219,127158,54286,AZ-7
AZ,Arizona,8,599423,100261,131595,189019,178548,AZ-8
AZ,Arizona,9,562791,160510,141929,170213,90139,AZ-9
AR,Arkansas,1,548710,106231,128779,183306,130394,AR-1
AR,Arkansas,2,570220,123752,138990,186961,120517,AR-2
AR,Arkansas,3,573113,134210,143907,179259,115737,AR-3
AR,Arkansas,4,532069,105713,110275,179824,136257,AR-4
CA,California,1,553702,112448,109556,177833,153865,CA-1
CA,California,2,534951,86946,110075,187221,150709,CA-2
CA,California,3,504299,128483,117545,158659,99612,CA-3
CA,California,4,573118,91864,121814,203386,156054,CA-4
CA,California,5,508369,96576,116637,172776,122380,CA-5
CA,California,6,506434,124359,140392,152039,89644,CA-6
CA,California,7,537436,102634,131950,186789,116063,CA-7
CA,California,8,477512,109039,117970,157700,92803,CA-8
CA,California,9,482967,109840,115502,162695,94930,CA-9
CA,California,10,493409,120037,126032,155323,92017,CA-10
CA,California,11,508963,94457,118438,178718,117350,CA-11
CA,California,12,571300,115725,185209,161917,108449,CA-12
CA,California,13,536892,124347,153682,158802,100061,CA-13
CA,California,14,511049,98885,125040,171998,115126,CA-14
CA,California,15,503361,92013,134040,179479,97829,CA-15
CA,California,16,423147,127642,108432,117889,69184,CA-16
CA,California,17,438374,86540,103893,162474,85467,CA-17
CA,California,18,491580,84672,111547,186221,109140,CA-18
CA,California,19,482363,110244,120200,159427,92492,CA-19
CA,California,20,434889,113595,100241,129619,91434,CA-20
CA,California,21,354669,112192,95934,94483,52060,CA-21
CA,California,22,483064,121739,123766,144754,92805,CA-22
CA,California,23,490446,114763,124203,159160,92320,CA-23
CA,California,24,508333,143040,96005,147344,121944,CA-24
CA,California,25,482964,103999,115475,175776,87714,CA-25
CA,California,26,480928,107880,105706,162047,105295,CA-26
CA,California,27,471963,86706,108732,159649,116876,CA-27
CA,California,28,502971,99507,139517,166073,97874,CA-28
CA,California,29,402898,111823,101568,119181,70326,CA-29
CA,California,30,529846,113793,130676,174660,110717,CA-30
CA,California,31,482081,128989,127282,146719,79091,CA-31
CA,California,32,449452,116658,107883,139777,85134,CA-32
CA,California,33,517251,99299,122449,167981,127522,CA-33
CA,California,34,425520,117797,122307,109068,76348,CA-34
CA,California,35,450565,146833,115997,125573,62162,CA-35
CA,California,36,536333,95867,111759,170439,158268,CA-36
CA,California,37,468463,129241,118145,136694,84383,CA-37
CA,California,38,481296,116734,115644,152188,96730,CA-38
CA,California,39,486713,112813,110244,161474,102182,CA-39
CA,California,40,340435,117561,88081,86405,48388,CA-40
CA,California,41,478613,154274,126217,132970,65152,CA-41
CA,California,42,538265,122803,145881,177568,92013,CA-42
CA,California,43,454185,114853,115255,142409,81668,CA-43
CA,California,44,395819,115574,110263,108537,61445,CA-44
CA,California,45,532802,110235,119202,187676,115689,CA-45
CA,California,46,408633,130145,103298,111682,63508,CA-46
CA,California,47,491712,114807,124261,166891,85753,CA-47
CA,California,48,529832,103313,113213,190245,123061,CA-48
CA,California,49,519302,111660,112832,178059,116751,CA-49
CA,California,50,513522,113483,123333,169884,106822,CA-50
CA,California,51,445034,133614,114319,124841,72260,CA-51
CA,California,52,546843,125910,142801,170845,107287,CA-52
CA,California,53,563962,150613,157739,162309,93301,CA-53
CO,Colorado,1,619349,152364,196712,172432,97841,CO-1
CO,Colorado,2,619285,152308,147134,199517,120326,CO-2
CO,Colorado,3,565901,109523,129319,189023,138036,CO-3
CO,Colorado,4,598599,117673,156792,208777,115357,CO-4
CO,Colorado,5,603967,145787,153131,192123,112926,CO-5
CO,Colorado,6,567801,113465,156336,200412,97588,CO-6
CO,Colorado,7,576138,124489,162759,180307,108583,CO-7
CT,Connecticut,1,523004,99742,117559,184595,121108,CT-1
CT,Connecticut,2,548572,113923,111653,198909,124087,CT-2
CT,Connecticut,3,535024,117352,114121,182421,121130,CT-3
CT,Connecticut,4,496370,91904,103645,191712,109109,CT-4
CT,Connecticut,5,511395,97510,105985,189558,118342,CT-5
DE,Delaware,At-large,720867,140123,153037,249503,178204,DE-At-large
DC,District of Columbia,At-large,526393,145434,165893,131762,83304,DC-At-large
FL,Florida,1,601423,129762,142425,198441,130795,FL-1
FL,Florida,2,573718,112942,125347,188569,146860,FL-2
FL,Florida,3,579993,143031,129575,180729,126658,FL-3
FL,Florida,4,614794,118537,151537,210228,134492,FL-4
FL,Florida,5,541992,141638,133383,171317,95654,FL-5
FL,Florida,6,621566,98635,119235,207124,196572,FL-6
FL,Florida,7,581583,148112,143853,179955,109663,FL-7
FL,Florida,8,610604,92846,111790,214531,191437,FL-8
FL,Florida,9,644898,137347,166586,202251,138714,FL-9
FL,Florida,10,546157,121477,151934,183021,89725,FL-10
FL,Florida,11,652135,82551,96277,196690,276617,FL-11
FL,Florida,12,605983,83666,126316,210053,185948,FL-12
FL,Florida,13,584889,100325,116090,205103,163371,FL-13
FL,Florida,14,534225,122106,143475,169888,98756,FL-14
FL,Florida,15,578715,126879,132369,192852,126615,FL-15
FL,Florida,16,638769,91026,118164,211715,217864,FL-16
FL,Florida,17,615104,81894,101025,183910,248275,FL-17
FL,Florida,18,599873,89563,111342,204824,194144,FL-18
FL,Florida,19,631233,84363,98336,192617,255917,FL-19
FL,Florida,20,507613,115723,128477,165897,97516,FL-20
FL,Florida,21,546101,86152,99308,171770,188871,FL-21
FL,Florida,22,534846,78782,113545,190781,151738,FL-22
FL,Florida,23,510212,92504,117316,176163,124229,FL-23
FL,Florida,24,477697,110275,123658,149155,94609,FL-24
FL,Florida,25,453055,89229,86737,148024,129065,FL-25
