State,State Abbreviation,District Number,Congressional District,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Men,Women,Above Poverty Level,Below Poverty Level,Less than 9th Grade,"9th to 12 Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate Degree,High School or More,Bachelor's Degree or More,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic
Alabama,AL,1,AL-1,544464,104060,125900,188031,126473,256603,287861,532906,76483,13409,57234,185503,122236,42603,82971,40508,473821,123479,379018,144187,6506,N,N,2884,7325,11678,370443
Alabama,AL,2,AL-2,516295,109222,118999,173351,114723,243971,272324,498215,75815,18295,53192,172427,119350,45677,69082,38272,444808,107354,338162,162707,3817,N,N,1818,7705,9755,331192
Alabama,AL,3,AL-3,543854,121328,121212,182379,118935,261066,282788,526264,88748,19578,56833,174209,142705,45713,63916,40900,467443,104816,390539,139026,4028,N,N,2448,6754,12241,381547
Alabama,AL,4,AL-4,515701,95990,114921,177247,127543,248166,267535,509407,70775,24346,57850,175806,121739,51436,52697,31827,433505,84524,459105,39714,N,N,N,3529,8327,11700,451856
Alabama,AL,5,AL-5,551968,109986,129788,193348,118846,267633,284335,537668,61196,14908,43805,151609,123272,45097,113417,59860,493255,173277,427462,99160,5209,N,N,5852,12317,14670,420181
Alabama,AL,6,AL-6,535753,101646,133635,182710,117762,255440,280313,524830,48300,11300,36957,140443,123459,40976,117006,65612,487496,182618,431768,82560,7642,N,N,5066,9103,12660,423727
Alabama,AL,7,AL-7,504177,126572,114337,162887,100381,230516,273661,481363,103655,16616,55234,168045,133839,39302,59601,31540,432327,91141,180979,313943,N,N,N,N,N,7621,175060
Alaska,AK,At-large,AK-At-large,532244,127476,144647,174789,85332,279792,252452,519019,51051,10640,26444,160451,148709,41699,89107,55194,495160,144301,368438,17519,26468,75676,4320,6980,33181,31790,349058
Arizona,AZ,1,AZ-1,568661,124100,129362,169734,145465,283123,285538,536962,89883,21704,52527,157867,160634,47496,76331,52102,494430,128433,388200,16019,6283,124578,N,16627,17080,107249,309394
Arizona,AZ,2,AZ-2,550044,116061,114471,166939,152573,267865,282179,533913,62901,11867,34149,129115,155015,51429,100306,68163,504028,168469,458052,20701,14034,9940,N,25168,21864,130624,365443
Arizona,AZ,3,AZ-3,500787,146929,122468,143475,87915,256566,244221,478150,72311,30121,57088,148104,141914,45173,53824,24563,413578,78387,357944,28175,9604,26382,N,59120,18519,267591,174893
Arizona,AZ,4,AZ-4,633528,95038,118494,201308,218688,318974,314554,610113,68749,17595,52748,192527,192003,59051,77875,41729,563185,119604,578190,11176,7942,8582,N,11112,15000,99681,495800
Arizona,AZ,5,AZ-5,587681,106103,155762,190794,135022,283913,303768,586067,37227,8798,27681,128346,160076,53374,138201,71205,551202,209406,507420,22836,22282,7605,N,13416,13467,79986,445503
Arizona,AZ,6,AZ-6,577899,104945,124931,202991,145032,279903,297996,576110,44701,8834,25687,107601,139842,47995,158055,89885,543378,247940,506970,20018,18222,8632,N,9807,13635,69238,451867
Arizona,AZ,7,AZ-7,454957,153294,120219,127158,54286,226970,227987,447394,67279,34537,53791,140351,117031,34665,50781,23801,366629,74582,317721,52274,10856,18769,N,37487,18298,231252,141414
Arizona,AZ,8,AZ-8,599423,100261,131595,189019,178548,281157,318266,589749,38999,13530,31603,155411,167411,56366,111662,63440,554290,175102,510303,28428,20387,N,N,17439,15934,94705,441353
Arizona,AZ,9,AZ-9,562791,160510,141929,170213,90139,280089,282702,552135,60388,11269,26068,109598,155775,50960,137924,71197,525454,209121,442582,36493,21686,18138,N,21432,19896,108397,365415
Arkansas,AR,1,AR-1,548710,106231,128779,183306,130394,270423,278287,522923,89589,24944,53594,208663,128267,44423,60603,28216,470172,88819,438139,87917,N,N,N,4421,16059,11266,431129
Arkansas,AR,2,AR-2,570220,123752,138990,186961,120517,271053,299167,555802,75688,14879,40792,172669,140151,44106,97692,59931,514549,157623,422355,128263,6177,N,N,3314,8778,13186,413714
Arkansas,AR,3,AR-3,573113,134210,143907,179259,115737,277923,295190,557687,67436,18243,38548,183043,147350,37748,94386,53795,516322,148181,500760,18315,12673,N,1735,19983,13215,46024,476885
Arkansas,AR,4,AR-4,532069,105713,110275,179824,136257,255252,276817,514124,86232,16826,50608,206160,133473,41122,56921,26959,464635,83880,411637,100650,3019,N,N,6858,7232,15662,403409
California,CA,1,CA-1,553702,112448,109556,177833,153865,276469,277233,534889,77504,10300,36521,139909,179540,60188,86500,40744,506881,127244,485784,10767,12127,9608,N,14141,21522,58536,445921
California,CA,2,CA-2,534951,86946,110075,187221,150709,262941,272010,522186,53649,10337,25985,99851,132042,45775,132589,88372,498629,220961,454414,8870,19514,11655,N,19112,20970,61074,418700
California,CA,3,CA-3,504299,128483,117545,158659,99612,246961,257338,489655,65293,18937,36020,125825,155145,46482,73831,48059,449342,121890,359233,35270,52394,5960,N,22185,25321,109241,280363
California,CA,4,CA-4,573118,91864,121814,203386,156054,286496,286622,562791,44632,7430,27012,125409,163654,61487,128333,59793,538676,188126,497366,N,27898,N,N,11868,23354,64548,450006
California,CA,5,CA-5,508369,96576,116637,172776,122380,242276,266093,501445,41040,15874,23135,106375,143612,57465,107991,53917,469360,161908,351083,34910,56492,N,N,37843,21549,97104,301558
California,CA,6,CA-6,506434,124359,140392,152039,89644,244392,262042,499803,64734,23007,31946,120347,135756,46478,100008,48892,451481,148900,271180,71316,83265,N,5553,40599,30155,111950,215048
California,CA,7,CA-7,537436,102634,131950,186789,116063,259003,278433,530517,50715,15617,26001,110306,154666,58465,116934,55447,495818,172381,361187,44099,75279,N,4850,19591,26770,82608,307594
California,CA,8,CA-8,477512,109039,117970,157700,92803,240107,237405,465044,68015,16654,45292,154981,139316,44583,48542,28144,415566,76686,368454,43008,14025,9164,N,25509,16327,155314,248281
California,CA,9,CA-9,482967,109840,115502,162695,94930,234940,248027,473224,50332,22179,38221,147403,126601,51814,68040,28709,422567,96749,290420,49206,69600,N,N,29461,38620,142052,206544
California,CA,10,CA-10,493409,120037,126032,155323,92017,242938,250471,488503,51924,25293,43288,154120,145033,42682,59753,23240,424828,82993,375752,18469,35626,5748,4250,30849,22943,175701,244470
California,CA,11,CA-11,508963,94457,118438,178718,117350,245241,263722,503806,35217,12985,21166,86079,115072,41873,142028,89760,474812,231788,311242,49347,74364,N,N,41347,28089,92941,270864
California,CA,12,CA-12,571300,115725,185209,161917,108449,292211,279089,563530,54323,24369,21283,67565,78296,27093,219245,133449,525648,352694,296423,32133,178128,N,N,33021,28512,66614,269198
California,CA,13,CA-13,536892,124347,153682,158802,100061,253135,283757,523587,59812,16604,24706,88938,108388,33353,151914,112989,495582,264903,247852,98151,109823,3579,3939,43499,30049,83915,217540
California,CA,14,CA-14,511049,98885,125040,171998,115126,249886,261163,505623,30509,18871,20813,79470,105663,37951,159360,88921,471365,248281,241671,17614,177859,N,6011,40390,26057,91581,198763
California,CA,15,CA-15,503361,92013,134040,179479,97829,248705,254656,498277,24930,13285,23799,105049,115831,34366,134275,76756,466277,211031,232958,33069,157240,N,5903,46852,24347,94547,194131
California,CA,16,CA-16,423147,127642,108432,117889,69184,210027,213120,406162,81954,33543,50462,124002,120993,32787,43302,18058,339142,61360,259896,29949,40911,6254,N,73557,12434,210149,133048
California,CA,17,CA-17,438374,86540,103893,162474,85467,224282,214092,430314,28312,13228,19579,69782,81191,33473,128406,92715,405567,221121,166583,11616,208824,N,N,30812,17009,69573,134388
California,CA,18,CA-18,491580,84672,111547,186221,109140,239626,251954,480245,28612,6902,12128,57910,84970,28246,158493,142931,472550,301424,346243,11030,100672,N,N,14024,17163,56623,307735
California,CA,19,CA-19,482363,110244,120200,159427,92492,238475,243888,477211,36308,28909,31052,89585,109884,43770,119763,59400,422402,179163,229734,18927,143142,N,N,60224,21598,152994,149701
California,CA,20,CA-20,434889,113595,100241,129619,91434,216679,218210,411682,38475,19397,26214,91612,123963,41687,79665,52351,389278,132016,305946,11941,27517,N,N,64715,19754,158794,221760
California,CA,21,CA-21,354669,112192,95934,94483,52060,190018,164651,323856,57483,30382,49482,114452,96588,26041,27414,10310,274805,37724,248130,21886,16544,3929,N,50257,13545,216534,91472
California,CA,22,CA-22,483064,121739,123766,144754,92805,228078,254986,478408,58757,20958,33175,113960,138342,53000,80429,43200,428931,123629,346638,15143,38914,N,N,57049,18805,189448,227786
California,CA,23,CA-23,490446,114763,124203,159160,92320,247112,243334,477323,75310,19789,51116,136106,144489,45193,59122,34631,419541,93753,380726,32679,21724,N,N,34044,15283,160510,261955
California,CA,24,CA-24,508333,143040,96005,147344,121944,253408,254925,478763,60133,12493,22428,100200,157352,46880,106787,62193,473412,168980,425380,12424,23909,N,N,21444,18701,123255,334770
California,CA,25,CA-25,482964,103999,115475,175776,87714,235314,247650,475581,48804,19148,40232,113657,128561,49777,89036,42553,423584,131589,330756,34903,41939,N,N,52485,19310,159316,234020
California,CA,26,CA-26,480928,107880,105706,162047,105295,235049,245879,471915,33106,20235,24094,101186,130031,49476,97939,57967,436599,155906,395925,11733,33306,N,N,17324,17814,169562,254914
California,CA,27,CA-27,471963,86706,108732,159649,116876,224505,247458,463381,41601,29513,23456,82256,100069,39294,122862,74513,418994,197375,206447,22520,169067,N,N,55402,15942,117921,150127
California,CA,28,CA-28,502971,99507,139517,166073,97874,246827,256144,499140,53429,18412,17960,82496,106049,46643,155739,75672,466599,231411,363249,14106,61516,N,N,39628,21009,96915,312385
California,CA,29,CA-29,402898,111823,101568,119181,70326,196524,206374,399807,45157,36869,38058,101848,105890,30540,69161,20532,327971,89693,237736,22226,35957,3255,N,91212,11663,227603,111309
California,CA,30,CA-30,529846,113793,130676,174660,110717,256236,273610,523743,43908,19105,23003,87198,127319,40343,155101,77777,487738,232878,352578,32932,69798,N,N,51757,19650,117071,293695
California,CA,31,CA-31,482081,128989,127282,146719,79091,230379,251702,464860,51108,18582,45590,133160,128296,41316,72149,42988,417909,115137,308232,56448,31947,N,N,58974,20841,221491,157858
California,CA,32,CA-32,449452,116658,107883,139777,85134,213040,236412,441456,38130,34351,34156,124345,121048,36250,71065,28237,380945,99302,243616,16232,83560,5739,N,64727,33327,253798,86125
California,CA,33,CA-33,517251,99299,122449,167981,127522,251819,265432,500426,37349,5748,12703,55109,98470,29721,183848,131652,498800,315500,393760,21199,60673,N,N,15442,23687,64031,349617
