State Abbreviation,State,District Number,Voting-Age Population,Less than 9th Grade,"9th to 12 Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate Degree,High School or More,Bachelor's Degree or More,Congressional District
AL,Alabama,1,544464,13409,57234,185503,122236,42603,82971,40508,473821,123479,AL-1
AL,Alabama,2,516295,18295,53192,172427,119350,45677,69082,38272,444808,107354,AL-2
AL,Alabama,3,543854,19578,56833,174209,142705,45713,63916,40900,467443,104816,AL-3
AL,Alabama,4,515701,24346,57850,175806,121739,51436,52697,31827,433505,84524,AL-4
AL,Alabama,5,551968,14908,43805,151609,123272,45097,113417,59860,493255,173277,AL-5
AL,Alabama,6,535753,11300,36957,140443,123459,40976,117006,65612,487496,182618,AL-6
AL,Alabama,7,504177,16616,55234,168045,133839,39302,59601,31540,432327,91141,AL-7
AK,Alaska,At-large,532244,10640,26444,160451,148709,41699,89107,55194,495160,144301,AK-At-large
AZ,Arizona,1,568661,21704,52527,157867,160634,47496,76331,52102,494430,128433,AZ-1
AZ,Arizona,2,550044,11867,34149,129115,155015,51429,100306,68163,504028,168469,AZ-2
AZ,Arizona,3,500787,30121,57088,148104,141914,45173,53824,24563,413578,78387,AZ-3
AZ,Arizona,4,633528,17595,52748,192527,192003,59051,77875,41729,563185,119604,AZ-4
AZ,Arizona,5,587681,8798,27681,128346,160076,53374,138201,71205,551202,209406,AZ-5
AZ,Arizona,6,577899,8834,25687,107601,139842,47995,158055,89885,543378,247940,AZ-6
AZ,Arizona,7,454957,34537,53791,140351,117031,34665,50781,23801,366629,74582,AZ-7
AZ,Arizona,8,599423,13530,31603,155411,167411,56366,111662,63440,554290,175102,AZ-8
AZ,Arizona,9,562791,11269,26068,109598,155775,50960,137924,71197,525454,209121,AZ-9
AR,Arkansas,1,548710,24944,53594,208663,128267,44423,60603,28216,470172,88819,AR-1
AR,Arkansas,2,570220,14879,40792,172669,140151,44106,97692,59931,514549,157623,AR-2
AR,Arkansas,3,573113,18243,38548,183043,147350,37748,94386,53795,516322,148181,AR-3
AR,Arkansas,4,532069,16826,50608,206160,133473,41122,56921,26959,464635,83880,AR-4
CA,California,1,553702,10300,36521,139909,179540,60188,86500,40744,506881,127244,CA-1
CA,California,2,534951,10337,25985,99851,132042,45775,132589,88372,498629,220961,CA-2
CA,California,3,504299,18937,36020,125825,155145,46482,73831,48059,449342,121890,CA-3
CA,California,4,573118,7430,27012,125409,163654,61487,128333,59793,538676,188126,CA-4
CA,California,5,508369,15874,23135,106375,143612,57465,107991,53917,469360,161908,CA-5
CA,California,6,506434,23007,31946,120347,135756,46478,100008,48892,451481,148900,CA-6
CA,California,7,537436,15617,26001,110306,154666,58465,116934,55447,495818,172381,CA-7
