State,District Number,Congressional District,Voting-Age Population,Above Poverty Level,Below Poverty Level
Alabama,1,AL-1,544464,532906,76483
Alabama,2,AL-2,516295,498215,75815
Alabama,3,AL-3,543854,526264,88748
Alabama,4,AL-4,515701,509407,70775
Alabama,5,AL-5,551968,537668,61196
Alabama,6,AL-6,535753,524830,48300
Alabama,7,AL-7,504177,481363,103655
Alaska,At-large,AK-At-large,532244,519019,51051
Arizona,1,AZ-1,568661,536962,89883
Arizona,2,AZ-2,550044,533913,62901
Arizona,3,AZ-3,500787,478150,72311
Arizona,4,AZ-4,633528,610113,68749
Arizona,5,AZ-5,587681,586067,37227
Arizona,6,AZ-6,577899,576110,44701
Arizona,7,AZ-7,454957,447394,67279
Arizona,8,AZ-8,599423,589749,38999
Arizona,9,AZ-9,562791,552135,60388
Arkansas,1,AR-1,548710,522923,89589
Arkansas,2,AR-2,570220,555802,75688
Arkansas,3,AR-3,573113,557687,67436
Arkansas,4,AR-4,532069,514124,86232
California,1,CA-1,553702,534889,77504
California,2,CA-2,534951,522186,53649
California,3,CA-3,504299,489655,65293
California,4,CA-4,573118,562791,44632
California,5,CA-5,508369,501445,41040
California,6,CA-6,506434,499803,64734
California,7,CA-7,537436,530517,50715
California,8,CA-8,477512,465044,68015
California,9,CA-9,482967,473224,50332
California,10,CA-10,493409,488503,51924
California,11,CA-11,508963,503806,35217
California,12,CA-12,571300,563530,54323
California,13,CA-13,536892,523587,59812
California,14,CA-14,511049,505623,30509
California,15,CA-15,503361,498277,24930
California,16,CA-16,423147,406162,81954
California,17,CA-17,438374,430314,28312
California,18,CA-18,491580,480245,28612
California,19,CA-19,482363,477211,36308
California,20,CA-20,434889,411682,38475
California,21,CA-21,354669,323856,57483
California,22,CA-22,483064,478408,58757
California,23,CA-23,490446,477323,75310
California,24,CA-24,508333,478763,60133
California,25,CA-25,482964,475581,48804
California,26,CA-26,480928,471915,33106
California,27,CA-27,471963,463381,41601
California,28,CA-28,502971,499140,53429
California,29,CA-29,402898,399807,45157
California,30,CA-30,529846,523743,43908
California,31,CA-31,482081,464860,51108
California,32,CA-32,449452,441456,38130
California,33,CA-33,517251,500426,37349
California,34,CA-34,425520,408807,70687
California,35,CA-35,450565,440052,41460
California,36,CA-36,536333,528270,68097
California,37,CA-37,468463,459415,61771
California,38,CA-38,481296,474994,38012
California,39,CA-39,486713,482420,32182
California,40,CA-40,340435,338726,46300
California,41,CA-41,478613,463587,51104
California,42,CA-42,538265,533812,38700
California,43,CA-43,454185,448459,48133
California,44,CA-44,395819,391379,54905
California,45,CA-45,532802,524647,38768
California,46,CA-46,408633,397295,45856
California,47,CA-47,491712,486226,50414
California,48,CA-48,529832,528025,41904
California,49,CA-49,519302,502167,31322
California,50,CA-50,513522,508243,42991
California,51,CA-51,445034,417314,61130
California,52,CA-52,546843,523070,39255
California,53,CA-53,563962,555546,53727
Colorado,1,CO-1,619349,607672,55734
Colorado,2,CO-2,619285,599732,58303
Colorado,3,CO-3,565901,552902,67233
Colorado,4,CO-4,598599,583283,44288
Colorado,5,CO-5,603967,575663,48574
Colorado,6,CO-6,567801,562482,30122
Colorado,7,CO-7,576138,567731,43603
Connecticut,1,CT-1,523004,513017,48741
Connecticut,2,CT-2,548572,512850,42018
Connecticut,3,CT-3,535024,511818,49435
Connecticut,4,CT-4,496370,485611,41943
Connecticut,5,CT-5,511395,498350,42611
Delaware,At-large,DE-At-large,720867,698953,72431
District of Columbia,At-large,DC-At-large,526393,497589,72562
Florida,1,FL-1,601423,573824,61279
Florida,2,FL-2,573718,531429,71752
Florida,3,FL-3,579993,550065,81167
Florida,4,FL-4,614794,600574,46523
Florida,5,FL-5,541992,515909,99897
Florida,6,FL-6,621566,612618,67142
Florida,7,FL-7,581583,558487,63702
Florida,8,FL-8,610604,604434,56876
Florida,9,FL-9,644898,637713,72873
Florida,10,FL-10,546157,539800,70483
Florida,11,FL-11,652135,637176,69985
Florida,12,FL-12,605983,596985,61058
Florida,13,FL-13,584889,574243,60632
Florida,14,FL-14,534225,523819,69743
Florida,15,FL-15,578715,570615,65321
Florida,16,FL-16,638769,631712,57125
Florida,17,FL-17,615104,602735,67861
Florida,18,FL-18,599873,594476,54001
Florida,19,FL-19,631233,622071,57652
Florida,20,FL-20,507613,495390,73896
Florida,21,FL-21,546101,542489,44811
Florida,22,FL-22,534846,529036,45187
Florida,23,FL-23,510212,508324,49339
Florida,24,FL-24,477697,467414,77269
Florida,25,FL-25,453055,447653,49424
Florida,26,FL-26,476033,467075,53344
Florida,27,FL-27,464604,457395,51044
Georgia,1,GA-1,550713,528280,70331
Georgia,2,GA-2,498322,464769,98551
Georgia,3,GA-3,548941,537649,65079
Georgia,4,GA-4,527938,523057,51138
Georgia,5,GA-5,587385,551428,88065
Georgia,6,GA-6,496468,493937,22372
Georgia,7,GA-7,486845,482823,34298
Georgia,8,GA-8,527338,508862,92521
Georgia,9,GA-9,556967,545726,56373
Georgia,10,GA-10,565803,542122,71163
Georgia,11,GA-11,559687,548550,44203
Georgia,12,GA-12,540482,507512,83972
Georgia,13,GA-13,523476,518694,43146
Georgia,14,GA-14,516434,504547,57895
Hawaii,1,HI-1,509992,495018,31466
Hawaii,2,HI-2,506514,491721,43163
Idaho,1,ID-1,661724,646145,62534
Idaho,2,ID-2,590690,582159,68775
Illinois,1,IL-1,524114,514916,74766
Illinois,2,IL-2,497132,489594,77321
Illinois,3,IL-3,479004,470227,40182
Illinois,4,IL-4,410804,408610,43427
Illinois,5,IL-5,545831,536884,38711
Illinois,6,IL-6,523796,515795,25904
Illinois,7,IL-7,522767,499676,89468
Illinois,8,IL-8,442009,437858,27635
Illinois,9,IL-9,498242,482383,49348
Illinois,10,IL-10,468255,449762,31798
Illinois,11,IL-11,472244,466570,30188
Illinois,12,IL-12,528398,510485,72726
Illinois,13,IL-13,539012,503603,81940
Illinois,14,IL-14,525729,523009,22704
Illinois,15,IL-15,532371,509784,63091
Illinois,16,IL-16,520730,504555,45055
Illinois,17,IL-17,512994,492760,66654
Illinois,18,IL-18,531334,513739,50132
Indiana,1,IN-1,537218,522771,58981
Indiana,2,IN-2,522778,503831,55923
Indiana,3,IN-3,540022,529139,47924
Indiana,4,IN-4,567094,541335,57075
Indiana,5,IN-5,573500,559314,45920
Indiana,6,IN-6,549035,529878,67700
Indiana,7,IN-7,521076,509529,77616
Indiana,8,IN-8,549149,525125,62903
Indiana,9,IN-9,575308,553531,64247
Iowa,1,IA-1,580187,558232,56396
Iowa,2,IA-2,581525,560199,62112
Iowa,3,IA-3,601044,588009,51444
Iowa,4,IA-4,564463,536367,55271
Kansas,1,KS-1,502712,474980,57226
Kansas,2,KS-2,538594,513794,70225
Kansas,3,KS-3,534532,529568,31937
