State Abbreviation,State,District Number,Voting-Age Population,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic,Congressional District
AL,Alabama,1,544464,379018,144187,6506,N,N,2884,7325,11678,370443,AL-1
AL,Alabama,2,516295,338162,162707,3817,N,N,1818,7705,9755,331192,AL-2
AL,Alabama,3,543854,390539,139026,4028,N,N,2448,6754,12241,381547,AL-3
AL,Alabama,4,515701,459105,39714,N,N,N,3529,8327,11700,451856,AL-4
AL,Alabama,5,551968,427462,99160,5209,N,N,5852,12317,14670,420181,AL-5
AL,Alabama,6,535753,431768,82560,7642,N,N,5066,9103,12660,423727,AL-6
AL,Alabama,7,504177,180979,313943,N,N,N,N,N,7621,175060,AL-7
AK,Alaska,At-large,532244,368438,17519,26468,75676,4320,6980,33181,31790,349058,AK-At-large
AZ,Arizona,1,568661,388200,16019,6283,124578,N,16627,17080,107249,309394,AZ-1
AZ,Arizona,2,550044,458052,20701,14034,9940,N,25168,21864,130624,365443,AZ-2
AZ,Arizona,3,500787,357944,28175,9604,26382,N,59120,18519,267591,174893,AZ-3
AZ,Arizona,4,633528,578190,11176,7942,8582,N,11112,15000,99681,495800,AZ-4
AZ,Arizona,5,587681,507420,22836,22282,7605,N,13416,13467,79986,445503,AZ-5
AZ,Arizona,6,577899,506970,20018,18222,8632,N,9807,13635,69238,451867,AZ-6
AZ,Arizona,7,454957,317721,52274,10856,18769,N,37487,18298,231252,141414,AZ-7
AZ,Arizona,8,599423,510303,28428,20387,N,N,17439,15934,94705,441353,AZ-8
AZ,Arizona,9,562791,442582,36493,21686,18138,N,21432,19896,108397,365415,AZ-9
AR,Arkansas,1,548710,438139,87917,N,N,N,4421,16059,11266,431129,AR-1
AR,Arkansas,2,570220,422355,128263,6177,N,N,3314,8778,13186,413714,AR-2
AR,Arkansas,3,573113,500760,18315,12673,N,1735,19983,13215,46024,476885,AR-3
AR,Arkansas,4,532069,411637,100650,3019,N,N,6858,7232,15662,403409,AR-4
CA,California,1,553702,485784,10767,12127,9608,N,14141,21522,58536,445921,CA-1
CA,California,2,534951,454414,8870,19514,11655,N,19112,20970,61074,418700,CA-2
CA,California,3,504299,359233,35270,52394,5960,N,22185,25321,109241,280363,CA-3
CA,California,4,573118,497366,N,27898,N,N,11868,23354,64548,450006,CA-4
CA,California,5,508369,351083,34910,56492,N,N,37843,21549,97104,301558,CA-5
CA,California,6,506434,271180,71316,83265,N,5553,40599,30155,111950,215048,CA-6
CA,California,7,537436,361187,44099,75279,N,4850,19591,26770,82608,307594,CA-7
CA,California,8,477512,368454,43008,14025,9164,N,25509,16327,155314,248281,CA-8
CA,California,9,482967,290420,49206,69600,N,N,29461,38620,142052,206544,CA-9
CA,California,10,493409,375752,18469,35626,5748,4250,30849,22943,175701,244470,CA-10
CA,California,11,508963,311242,49347,74364,N,N,41347,28089,92941,270864,CA-11
CA,California,12,571300,296423,32133,178128,N,N,33021,28512,66614,269198,CA-12
CA,California,13,536892,247852,98151,109823,3579,3939,43499,30049,83915,217540,CA-13
CA,California,14,511049,241671,17614,177859,N,6011,40390,26057,91581,198763,CA-14
CA,California,15,503361,232958,33069,157240,N,5903,46852,24347,94547,194131,CA-15
CA,California,16,423147,259896,29949,40911,6254,N,73557,12434,210149,133048,CA-16
CA,California,17,438374,166583,11616,208824,N,N,30812,17009,69573,134388,CA-17
CA,California,18,491580,346243,11030,100672,N,N,14024,17163,56623,307735,CA-18
CA,California,19,482363,229734,18927,143142,N,N,60224,21598,152994,149701,CA-19
CA,California,20,434889,305946,11941,27517,N,N,64715,19754,158794,221760,CA-20
CA,California,21,354669,248130,21886,16544,3929,N,50257,13545,216534,91472,CA-21
CA,California,22,483064,346638,15143,38914,N,N,57049,18805,189448,227786,CA-22
CA,California,23,490446,380726,32679,21724,N,N,34044,15283,160510,261955,CA-23
CA,California,24,508333,425380,12424,23909,N,N,21444,18701,123255,334770,CA-24
CA,California,25,482964,330756,34903,41939,N,N,52485,19310,159316,234020,CA-25
CA,California,26,480928,395925,11733,33306,N,N,17324,17814,169562,254914,CA-26
CA,California,27,471963,206447,22520,169067,N,N,55402,15942,117921,150127,CA-27
CA,California,28,502971,363249,14106,61516,N,N,39628,21009,96915,312385,CA-28
CA,California,29,402898,237736,22226,35957,3255,N,91212,11663,227603,111309,CA-29
CA,California,30,529846,352578,32932,69798,N,N,51757,19650,117071,293695,CA-30
CA,California,31,482081,308232,56448,31947,N,N,58974,20841,221491,157858,CA-31
CA,California,32,449452,243616,16232,83560,5739,N,64727,33327,253798,86125,CA-32
