State Abbreviation,State,District Number,Voting-Age Population,Men,Women,Above Poverty Level,Below Poverty Level,Congressional District
AL,Alabama,1,544464,256603,287861,532906,76483,Alabama-1
AL,Alabama,2,516295,243971,272324,498215,75815,Alabama-2
AL,Alabama,3,543854,261066,282788,526264,88748,Alabama-3
AL,Alabama,4,515701,248166,267535,509407,70775,Alabama-4
AL,Alabama,5,551968,267633,284335,537668,61196,Alabama-5
AL,Alabama,6,535753,255440,280313,524830,48300,Alabama-6
AL,Alabama,7,504177,230516,273661,481363,103655,Alabama-7
AK,Alaska,At-large,532244,279792,252452,519019,51051,Alaska-At-large
AZ,Arizona,1,568661,283123,285538,536962,89883,Arizona-1
AZ,Arizona,2,550044,267865,282179,533913,62901,Arizona-2
AZ,Arizona,3,500787,256566,244221,478150,72311,Arizona-3
AZ,Arizona,4,633528,318974,314554,610113,68749,Arizona-4
AZ,Arizona,5,587681,283913,303768,586067,37227,Arizona-5
AZ,Arizona,6,577899,279903,297996,576110,44701,Arizona-6
AZ,Arizona,7,454957,226970,227987,447394,67279,Arizona-7
AZ,Arizona,8,599423,281157,318266,589749,38999,Arizona-8
AZ,Arizona,9,562791,280089,282702,552135,60388,Arizona-9
AR,Arkansas,1,548710,270423,278287,522923,89589,Arkansas-1
AR,Arkansas,2,570220,271053,299167,555802,75688,Arkansas-2
AR,Arkansas,3,573113,277923,295190,557687,67436,Arkansas-3
AR,Arkansas,4,532069,255252,276817,514124,86232,Arkansas-4
CA,California,1,553702,276469,277233,534889,77504,California-1
CA,California,2,534951,262941,272010,522186,53649,California-2
CA,California,3,504299,246961,257338,489655,65293,California-3
CA,California,4,573118,286496,286622,562791,44632,California-4
CA,California,5,508369,242276,266093,501445,41040,California-5
CA,California,6,506434,244392,262042,499803,64734,California-6
CA,California,7,537436,259003,278433,530517,50715,California-7
CA,California,8,477512,240107,237405,465044,68015,California-8
CA,California,9,482967,234940,248027,473224,50332,California-9
CA,California,10,493409,242938,250471,488503,51924,California-10
CA,California,11,508963,245241,263722,503806,35217,California-11
CA,California,12,571300,292211,279089,563530,54323,California-12
CA,California,13,536892,253135,283757,523587,59812,California-13
CA,California,14,511049,249886,261163,505623,30509,California-14
CA,California,15,503361,248705,254656,498277,24930,California-15
CA,California,16,423147,210027,213120,406162,81954,California-16
CA,California,17,438374,224282,214092,430314,28312,California-17
CA,California,18,491580,239626,251954,480245,28612,California-18
CA,California,19,482363,238475,243888,477211,36308,California-19
CA,California,20,434889,216679,218210,411682,38475,California-20
CA,California,21,354669,190018,164651,323856,57483,California-21
CA,California,22,483064,228078,254986,478408,58757,California-22
CA,California,23,490446,247112,243334,477323,75310,California-23
CA,California,24,508333,253408,254925,478763,60133,California-24
CA,California,25,482964,235314,247650,475581,48804,California-25
CA,California,26,480928,235049,245879,471915,33106,California-26
CA,California,27,471963,224505,247458,463381,41601,California-27
CA,California,28,502971,246827,256144,499140,53429,California-28
CA,California,29,402898,196524,206374,399807,45157,California-29
CA,California,30,529846,256236,273610,523743,43908,California-30
CA,California,31,482081,230379,251702,464860,51108,California-31
CA,California,32,449452,213040,236412,441456,38130,California-32
CA,California,33,517251,251819,265432,500426,37349,California-33
CA,California,34,425520,215755,209765,408807,70687,California-34
CA,California,35,450565,220837,229728,440052,41460,California-35
CA,California,36,536333,262414,273919,528270,68097,California-36
CA,California,37,468463,223584,244879,459415,61771,California-37
CA,California,38,481296,233542,247754,474994,38012,California-38
CA,California,39,486713,233873,252840,482420,32182,California-39
CA,California,40,340435,165988,174447,338726,46300,California-40
CA,California,41,478613,237023,241590,463587,51104,California-41
CA,California,42,538265,269677,268588,533812,38700,California-42
CA,California,43,454185,213003,241182,448459,48133,California-43
CA,California,44,395819,188238,207581,391379,54905,California-44
CA,California,45,532802,259823,272979,524647,38768,California-45
CA,California,46,408633,201808,206825,397295,45856,California-46
CA,California,47,491712,239510,252202,486226,50414,California-47
CA,California,48,529832,261462,268370,528025,41904,California-48
CA,California,49,519302,259293,260009,502167,31322,California-49
CA,California,50,513522,254481,259041,508243,42991,California-50
CA,California,51,445034,231666,213368,417314,61130,California-51
CA,California,52,546843,277751,269092,523070,39255,California-52
CA,California,53,563962,280508,283454,555546,53727,California-53
CO,Colorado,1,619349,309603,309746,607672,55734,Colorado-1
CO,Colorado,2,619285,309961,309324,599732,58303,Colorado-2
CO,Colorado,3,565901,280001,285900,552902,67233,Colorado-3
CO,Colorado,4,598599,302689,295910,583283,44288,Colorado-4
CO,Colorado,5,603967,309714,294253,575663,48574,Colorado-5
CO,Colorado,6,567801,277947,289854,562482,30122,Colorado-6
CO,Colorado,7,576138,283711,292427,567731,43603,Colorado-7
CT,Connecticut,1,523004,247490,275514,513017,48741,Connecticut-1
CT,Connecticut,2,548572,272014,276558,512850,42018,Connecticut-2
CT,Connecticut,3,535024,251948,283076,511818,49435,Connecticut-3
CT,Connecticut,4,496370,234779,261591,485611,41943,Connecticut-4
CT,Connecticut,5,511395,246253,265142,498350,42611,Connecticut-5
DE,Delaware,At-large,720867,343826,377041,698953,72431,Delaware-At-large
DC,District of Columbia,At-large,526393,245922,280471,497589,72562,District of Columbia-At-large
FL,Florida,1,601423,300883,300540,573824,61279,Florida-1
FL,Florida,2,573718,290954,282764,531429,71752,Florida-2
FL,Florida,3,579993,282160,297833,550065,81167,Florida-3
FL,Florida,4,614794,301588,313206,600574,46523,Florida-4
FL,Florida,5,541992,254528,287464,515909,99897,Florida-5
FL,Florida,6,621566,296982,324584,612618,67142,Florida-6
FL,Florida,7,581583,282311,299272,558487,63702,Florida-7
FL,Florida,8,610604,293057,317547,604434,56876,Florida-8
FL,Florida,9,644898,313560,331338,637713,72873,Florida-9
FL,Florida,10,546157,262516,283641,539800,70483,Florida-10
FL,Florida,11,652135,313750,338385,637176,69985,Florida-11
FL,Florida,12,605983,285091,320892,596985,61058,Florida-12
FL,Florida,13,584889,281217,303672,574243,60632,Florida-13
FL,Florida,14,534225,253933,280292,523819,69743,Florida-14
FL,Florida,15,578715,278594,300121,570615,65321,Florida-15
FL,Florida,16,638769,302288,336481,631712,57125,Florida-16
FL,Florida,17,615104,301114,313990,602735,67861,Florida-17
FL,Florida,18,599873,288462,311411,594476,54001,Florida-18
FL,Florida,19,631233,300597,330636,622071,57652,Florida-19
FL,Florida,20,507613,242726,264887,495390,73896,Florida-20
FL,Florida,21,546101,255769,290332,542489,44811,Florida-21
FL,Florida,22,534846,265302,269544,529036,45187,Florida-22
FL,Florida,23,510212,242283,267929,508324,49339,Florida-23
FL,Florida,24,477697,220770,256927,467414,77269,Florida-24
FL,Florida,25,453055,212439,240616,447653,49424,Florida-25
FL,Florida,26,476033,225950,250083,467075,53344,Florida-26
FL,Florida,27,464604,222276,242328,457395,51044,Florida-27
GA,Georgia,1,550713,265885,284828,528280,70331,Georgia-1
GA,Georgia,2,498322,237183,261139,464769,98551,Georgia-2
GA,Georgia,3,548941,261012,287929,537649,65079,Georgia-3
GA,Georgia,4,527938,243040,284898,523057,51138,Georgia-4
GA,Georgia,5,587385,276291,311094,551428,88065,Georgia-5
GA,Georgia,6,496468,243742,252726,493937,22372,Georgia-6
GA,Georgia,7,486845,226855,259990,482823,34298,Georgia-7
GA,Georgia,8,527338,251135,276203,508862,92521,Georgia-8
GA,Georgia,9,556967,270985,285982,545726,56373,Georgia-9
GA,Georgia,10,565803,272442,293361,542122,71163,Georgia-10
GA,Georgia,11,559687,265122,294565,548550,44203,Georgia-11
GA,Georgia,12,540482,263096,277386,507512,83972,Georgia-12
GA,Georgia,13,523476,234458,289018,518694,43146,Georgia-13
GA,Georgia,14,516434,247683,268751,504547,57895,Georgia-14
HI,Hawaii,1,509992,259092,250900,495018,31466,Hawaii-1
HI,Hawaii,2,506514,254001,252513,491721,43163,Hawaii-2
ID,Idaho,1,661724,327753,333971,646145,62534,Idaho-1
ID,Idaho,2,590690,295212,295478,582159,68775,Idaho-2
IL,Illinois,1,524114,239139,284975,514916,74766,Illinois-1
IL,Illinois,2,497132,220603,276529,489594,77321,Illinois-2
IL,Illinois,3,479004,239389,239615,470227,40182,Illinois-3
IL,Illinois,4,410804,198815,211989,408610,43427,Illinois-4
IL,Illinois,5,545831,264796,281035,536884,38711,Illinois-5
IL,Illinois,6,523796,256062,267734,515795,25904,Illinois-6
IL,Illinois,7,522767,245563,277204,499676,89468,Illinois-7
IL,Illinois,8,442009,210434,231575,437858,27635,Illinois-8
IL,Illinois,9,498242,242188,256054,482383,49348,Illinois-9
IL,Illinois,10,468255,228987,239268,449762,31798,Illinois-10
IL,Illinois,11,472244,230365,241879,466570,30188,Illinois-11
IL,Illinois,12,528398,258312,270086,510485,72726,Illinois-12
IL,Illinois,13,539012,262945,276067,503603,81940,Illinois-13
IL,Illinois,14,525729,258410,267319,523009,22704,Illinois-14
IL,Illinois,15,532371,263271,269100,509784,63091,Illinois-15
IL,Illinois,16,520730,258813,261917,504555,45055,Illinois-16
IL,Illinois,17,512994,250502,262492,492760,66654,Illinois-17
IL,Illinois,18,531334,256746,274588,513739,50132,Illinois-18
IN,Indiana,1,537218,259331,277887,522771,58981,Indiana-1
IN,Indiana,2,522778,254316,268462,503831,55923,Indiana-2
IN,Indiana,3,540022,263081,276941,529139,47924,Indiana-3
IN,Indiana,4,567094,281136,285958,541335,57075,Indiana-4
IN,Indiana,5,573500,273289,300211,559314,45920,Indiana-5
IN,Indiana,6,549035,267782,281253,529878,67700,Indiana-6
IN,Indiana,7,521076,242838,278238,509529,77616,Indiana-7
IN,Indiana,8,549149,270738,278411,525125,62903,Indiana-8
IN,Indiana,9,575308,279976,295332,553531,64247,Indiana-9
IA,Iowa,1,580187,284027,296160,558232,56396,Iowa-1
IA,Iowa,2,581525,284369,297156,560199,62112,Iowa-2
IA,Iowa,3,601044,292105,308939,588009,51444,Iowa-3
IA,Iowa,4,564463,278749,285714,536367,55271,Iowa-4
KS,Kansas,1,502712,254352,248360,474980,57226,Kansas-1
KS,Kansas,2,538594,266041,272553,513794,70225,Kansas-2
KS,Kansas,3,534532,258428,276104,529568,31937,Kansas-3
KS,Kansas,4,515676,253444,262232,503367,54144,Kansas-4
KY,Kentucky,1,552530,269167,283363,528102,82046,Kentucky-1
KY,Kentucky,2,577362,282075,295287,557689,78440,Kentucky-2
KY,Kentucky,3,553926,261136,292790,541159,68708,Kentucky-3
KY,Kentucky,4,565232,277020,288212,551490,55545,Kentucky-4
KY,Kentucky,5,537877,263796,274081,517228,124355,Kentucky-5
KY,Kentucky,6,581992,279091,302901,560860,74703,Kentucky-6
LA,Louisiana,1,594231,282992,311239,582654,66838,Louisiana-1
LA,Louisiana,2,587115,273178,313937,567296,113301,Louisiana-2
LA,Louisiana,3,577604,275886,301718,566763,86760,Louisiana-3
LA,Louisiana,4,559310,272704,286606,540960,104441,Louisiana-4
LA,Louisiana,5,555804,274214,281590,513602,103696,Louisiana-5
LA,Louisiana,6,585015,276949,308066,575426,60246,Louisiana-6
ME,Maine,1,546625,262366,284259,533126,46725,Maine-1
ME,Maine,2,524036,256001,268035,509879,67713,Maine-2
MD,Maryland,1,567926,274632,293294,552884,42578,Maryland-1
MD,Maryland,2,560167,260668,299499,543593,51775,Maryland-2
MD,Maryland,3,545892,264371,281521,528919,36310,Maryland-3
MD,Maryland,4,503398,233987,269411,499442,29106,Maryland-4
MD,Maryland,5,556897,266835,290062,538164,32040,Maryland-5
MD,Maryland,6,523698,256158,267540,503145,41902,Maryland-6
MD,Maryland,7,528398,244249,284149,509441,70189,Maryland-7
MD,Maryland,8,533774,255084,278690,525419,27438,Maryland-8
MA,Massachusetts,1,568024,266490,301534,546653,65836,Massachusetts-1
MA,Massachusetts,2,558962,269755,289207,522617,45937,Massachusetts-2
MA,Massachusetts,3,543580,267058,276522,529486,45122,Massachusetts-3
MA,Massachusetts,4,559943,264258,295685,538159,33098,Massachusetts-4
MA,Massachusetts,5,535109,254313,280796,513186,30239,Massachusetts-5
