State,District Number,Congressional District,Voting-Age Population,Men,Women
Alabama,1,AL-1,544464,256603,287861
Alabama,2,AL-2,516295,243971,272324
Alabama,3,AL-3,543854,261066,282788
Alabama,4,AL-4,515701,248166,267535
Alabama,5,AL-5,551968,267633,284335
Alabama,6,AL-6,535753,255440,280313
Alabama,7,AL-7,504177,230516,273661
Alaska,At-large,AK-At-large,532244,279792,252452
Arizona,1,AZ-1,568661,283123,285538
Arizona,2,AZ-2,550044,267865,282179
Arizona,3,AZ-3,500787,256566,244221
Arizona,4,AZ-4,633528,318974,314554
Arizona,5,AZ-5,587681,283913,303768
Arizona,6,AZ-6,577899,279903,297996
Arizona,7,AZ-7,454957,226970,227987
Arizona,8,AZ-8,599423,281157,318266
Arizona,9,AZ-9,562791,280089,282702
Arkansas,1,AR-1,548710,270423,278287
Arkansas,2,AR-2,570220,271053,299167
Arkansas,3,AR-3,573113,277923,295190
Arkansas,4,AR-4,532069,255252,276817
California,1,CA-1,553702,276469,277233
California,2,CA-2,534951,262941,272010
California,3,CA-3,504299,246961,257338
California,4,CA-4,573118,286496,286622
California,5,CA-5,508369,242276,266093
California,6,CA-6,506434,244392,262042
California,7,CA-7,537436,259003,278433
California,8,CA-8,477512,240107,237405
California,9,CA-9,482967,234940,248027
California,10,CA-10,493409,242938,250471
California,11,CA-11,508963,245241,263722
California,12,CA-12,571300,292211,279089
California,13,CA-13,536892,253135,283757
California,14,CA-14,511049,249886,261163
California,15,CA-15,503361,248705,254656
California,16,CA-16,423147,210027,213120
California,17,CA-17,438374,224282,214092
California,18,CA-18,491580,239626,251954
California,19,CA-19,482363,238475,243888
California,20,CA-20,434889,216679,218210
California,21,CA-21,354669,190018,164651
California,22,CA-22,483064,228078,254986
California,23,CA-23,490446,247112,243334
California,24,CA-24,508333,253408,254925
California,25,CA-25,482964,235314,247650
California,26,CA-26,480928,235049,245879
California,27,CA-27,471963,224505,247458
California,28,CA-28,502971,246827,256144
California,29,CA-29,402898,196524,206374
California,30,CA-30,529846,256236,273610
California,31,CA-31,482081,230379,251702
California,32,CA-32,449452,213040,236412
California,33,CA-33,517251,251819,265432
California,34,CA-34,425520,215755,209765
California,35,CA-35,450565,220837,229728
California,36,CA-36,536333,262414,273919
California,37,CA-37,468463,223584,244879
California,38,CA-38,481296,233542,247754
California,39,CA-39,486713,233873,252840
California,40,CA-40,340435,165988,174447
California,41,CA-41,478613,237023,241590
California,42,CA-42,538265,269677,268588
California,43,CA-43,454185,213003,241182
California,44,CA-44,395819,188238,207581
California,45,CA-45,532802,259823,272979
California,46,CA-46,408633,201808,206825
California,47,CA-47,491712,239510,252202
California,48,CA-48,529832,261462,268370
California,49,CA-49,519302,259293,260009
California,50,CA-50,513522,254481,259041
California,51,CA-51,445034,231666,213368
California,52,CA-52,546843,277751,269092
California,53,CA-53,563962,280508,283454
Colorado,1,CO-1,619349,309603,309746
Colorado,2,CO-2,619285,309961,309324
Colorado,3,CO-3,565901,280001,285900
Colorado,4,CO-4,598599,302689,295910
Colorado,5,CO-5,603967,309714,294253
Colorado,6,CO-6,567801,277947,289854
Colorado,7,CO-7,576138,283711,292427
Connecticut,1,CT-1,523004,247490,275514
Connecticut,2,CT-2,548572,272014,276558
Connecticut,3,CT-3,535024,251948,283076
Connecticut,4,CT-4,496370,234779,261591
Connecticut,5,CT-5,511395,246253,265142
Delaware,At-large,DE-At-large,720867,343826,377041
District of Columbia,At-large,DC-At-large,526393,245922,280471
Florida,1,FL-1,601423,300883,300540
Florida,2,FL-2,573718,290954,282764
Florida,3,FL-3,579993,282160,297833
Florida,4,FL-4,614794,301588,313206
Florida,5,FL-5,541992,254528,287464
Florida,6,FL-6,621566,296982,324584
Florida,7,FL-7,581583,282311,299272
Florida,8,FL-8,610604,293057,317547
Florida,9,FL-9,644898,313560,331338
Florida,10,FL-10,546157,262516,283641
Florida,11,FL-11,652135,313750,338385
Florida,12,FL-12,605983,285091,320892
Florida,13,FL-13,584889,281217,303672
Florida,14,FL-14,534225,253933,280292
Florida,15,FL-15,578715,278594,300121
Florida,16,FL-16,638769,302288,336481
Florida,17,FL-17,615104,301114,313990
Florida,18,FL-18,599873,288462,311411
Florida,19,FL-19,631233,300597,330636
Florida,20,FL-20,507613,242726,264887
Florida,21,FL-21,546101,255769,290332
Florida,22,FL-22,534846,265302,269544
Florida,23,FL-23,510212,242283,267929
Florida,24,FL-24,477697,220770,256927
Florida,25,FL-25,453055,212439,240616
Florida,26,FL-26,476033,225950,250083
Florida,27,FL-27,464604,222276,242328
Georgia,1,GA-1,550713,265885,284828
Georgia,2,GA-2,498322,237183,261139
Georgia,3,GA-3,548941,261012,287929
Georgia,4,GA-4,527938,243040,284898
Georgia,5,GA-5,587385,276291,311094
Georgia,6,GA-6,496468,243742,252726
Georgia,7,GA-7,486845,226855,259990
Georgia,8,GA-8,527338,251135,276203
Georgia,9,GA-9,556967,270985,285982
Georgia,10,GA-10,565803,272442,293361
Georgia,11,GA-11,559687,265122,294565
Georgia,12,GA-12,540482,263096,277386
Georgia,13,GA-13,523476,234458,289018
Georgia,14,GA-14,516434,247683,268751
Hawaii,1,HI-1,509992,259092,250900
Hawaii,2,HI-2,506514,254001,252513
Idaho,1,ID-1,661724,327753,333971
Idaho,2,ID-2,590690,295212,295478
Illinois,1,IL-1,524114,239139,284975
Illinois,2,IL-2,497132,220603,276529
Illinois,3,IL-3,479004,239389,239615
Illinois,4,IL-4,410804,198815,211989
Illinois,5,IL-5,545831,264796,281035
Illinois,6,IL-6,523796,256062,267734
Illinois,7,IL-7,522767,245563,277204
Illinois,8,IL-8,442009,210434,231575
Illinois,9,IL-9,498242,242188,256054
Illinois,10,IL-10,468255,228987,239268
Illinois,11,IL-11,472244,230365,241879
Illinois,12,IL-12,528398,258312,270086
Illinois,13,IL-13,539012,262945,276067
Illinois,14,IL-14,525729,258410,267319
Illinois,15,IL-15,532371,263271,269100
Illinois,16,IL-16,520730,258813,261917
Illinois,17,IL-17,512994,250502,262492
Illinois,18,IL-18,531334,256746,274588
Indiana,1,IN-1,537218,259331,277887
Indiana,2,IN-2,522778,254316,268462
Indiana,3,IN-3,540022,263081,276941
Indiana,4,IN-4,567094,281136,285958
Indiana,5,IN-5,573500,273289,300211
Indiana,6,IN-6,549035,267782,281253
Indiana,7,IN-7,521076,242838,278238
Indiana,8,IN-8,549149,270738,278411
Indiana,9,IN-9,575308,279976,295332
Iowa,1,IA-1,580187,284027,296160
Iowa,2,IA-2,581525,284369,297156
Iowa,3,IA-3,601044,292105,308939
Iowa,4,IA-4,564463,278749,285714
Kansas,1,KS-1,502712,254352,248360
Kansas,2,KS-2,538594,266041,272553
Kansas,3,KS-3,534532,258428,276104
Kansas,4,KS-4,515676,253444,262232
Kentucky,1,KY-1,552530,269167,283363
Kentucky,2,KY-2,577362,282075,295287
Kentucky,3,KY-3,553926,261136,292790
Kentucky,4,KY-4,565232,277020,288212
Kentucky,5,KY-5,537877,263796,274081
Kentucky,6,KY-6,581992,279091,302901
Louisiana,1,LA-1,594231,282992,311239
Louisiana,2,LA-2,587115,273178,313937
Louisiana,3,LA-3,577604,275886,301718
Louisiana,4,LA-4,559310,272704,286606
