year,congressional_district,state,state_abbreviation,district_number,special_election,candidate,party,candidate_votes,total_votes,candidate_percent
2016,AL-1,Alabama,AL,1,False,Bradley Byrne,republican,208083,215893,0.9638246724071646
2016,AL-1,Alabama,AL,1,False,,other,7810,215893,0.03617532759283534
2016,AL-2,Alabama,AL,2,False,Nathan Mathis,democrat,112089,276584,0.40526205420414774
2016,AL-2,Alabama,AL,2,False,,other,29609,276584,0.10705246868943974
2016,AL-2,Alabama,AL,2,False,Martha Roby,republican,134886,276584,0.4876854771064125
2016,AL-3,Alabama,AL,3,False,,other,391,287104,0.001361875835934017
2016,AL-3,Alabama,AL,3,False,Mike Rogers,republican,192164,287104,0.6693184351315203
2016,AL-3,Alabama,AL,3,False,Jesse Smith,democrat,94549,287104,0.3293196890325457
2016,AL-4,Alabama,AL,4,False,,other,3519,239444,0.014696547000551277
2016,AL-4,Alabama,AL,4,False,Robert B. Aderholt,republican,235925,239444,0.9853034529994488
2016,AL-5,Alabama,AL,5,False,Mo Brooks,republican,205647,308326,0.6669791065301013
2016,AL-5,Alabama,AL,5,False,"Will Boyd, Jr.",democrat,102234,308326,0.33157761590005386
2016,AL-5,Alabama,AL,5,False,,other,445,308326,0.0014432775698449045
2016,AL-6,Alabama,AL,6,False,David J. Putnam,democrat,83709,329306,0.2541982229294334
2016,AL-6,Alabama,AL,6,False,Gary J. Palmer,republican,245313,329306,0.7449393573150808
2016,AL-6,Alabama,AL,6,False,,other,284,329306,0.0008624197554857792
2016,AL-7,Alabama,AL,7,False,Terri A. Sewell,democrat,229330,233028,0.9841306624096675
2016,AL-7,Alabama,AL,7,False,,other,3698,233028,0.015869337590332492
2016,AK-0,Alaska,AK,0,False,Bernie Souphanavong,other,9093,308198,0.02950376056950402
2016,AK-0,Alaska,AK,0,False,Don Young,republican,155088,308198,0.5032089760478653
2016,AK-0,Alaska,AK,0,False,,other,1228,308198,0.003984451553871213
2016,AK-0,Alaska,AK,0,False,Steve Lindbeck,democrat,111019,308198,0.36021972887559295
2016,AK-0,Alaska,AK,0,False,Jim C. McDermott,other,31770,308198,0.10308308295316647
2016,AZ-1,Arizona,AZ,1,False,Paul Babeu,republican,121745,280710,0.43370382245021555
