year,state,state_abbreviation,county,office,candidate,party,candidate_votes,total_votes,candidate_percent
2016,Alabama,AL,Autauga,President,Hillary Clinton,democrat,5936.0,24973,0.2376967124494454
2016,Alabama,AL,Autauga,President,Donald Trump,republican,18172.0,24973,0.7276658791494814
2016,Alabama,AL,Autauga,President,Other,other,865.0,24973,0.03463740840107316
2016,Alabama,AL,Baldwin,President,Hillary Clinton,democrat,18458.0,95215,0.193856010082445
2016,Alabama,AL,Baldwin,President,Donald Trump,republican,72883.0,95215,0.765457123352413
2016,Alabama,AL,Baldwin,President,Other,other,3874.0,95215,0.040686866565142046
2016,Alabama,AL,Barbour,President,Hillary Clinton,democrat,4871.0,10469,0.46527844111185407
2016,Alabama,AL,Barbour,President,Donald Trump,republican,5454.0,10469,0.5209666634826631
2016,Alabama,AL,Barbour,President,Other,other,144.0,10469,0.013754895405482854
2016,Alabama,AL,Bibb,President,Hillary Clinton,democrat,1874.0,8819,0.21249574781721284
2016,Alabama,AL,Bibb,President,Donald Trump,republican,6738.0,8819,0.7640322031976414
2016,Alabama,AL,Bibb,President,Other,other,207.0,8819,0.023472048985145707
2016,Alabama,AL,Blount,President,Hillary Clinton,democrat,2156.0,25588,0.08425824605283727
2016,Alabama,AL,Blount,President,Donald Trump,republican,22859.0,25588,0.8933484445833985
2016,Alabama,AL,Blount,President,Other,other,573.0,25588,0.022393309363764265
2016,Alabama,AL,Bullock,President,Hillary Clinton,democrat,3530.0,4710,0.7494692144373672
2016,Alabama,AL,Bullock,President,Donald Trump,republican,1140.0,4710,0.24203821656050956
2016,Alabama,AL,Bullock,President,Other,other,40.0,4710,0.008492569002123142
2016,Alabama,AL,Butler,President,Hillary Clinton,democrat,3726.0,8732,0.4267063673843335
2016,Alabama,AL,Butler,President,Donald Trump,republican,4901.0,8732,0.5612688960146587
2016,Alabama,AL,Butler,President,Other,other,105.0,8732,0.012024736601007788
2016,Alabama,AL,Calhoun,President,Hillary Clinton,democrat,13242.0,47864,0.2766588667892362
