Year,State,State Abbreviation,District Number,Special Election,Candidate,Party,Candidate Votes,Total Votes,Candidate Percent
2016,Alabama,AL,statewide,False,Ron Crumpton,democrat,748709,2087444,0.3586726158881388
2016,Alabama,AL,statewide,False,Richard C. Shelby,republican,1335104,2087444,0.639587936251224
2016,Alabama,AL,statewide,False,,other,3631,2087444,0.0017394478606372196
2016,Alaska,AK,statewide,False,Joe Miller,other,90825,311441,0.2916282698809726
2016,Alaska,AK,statewide,False,Ted Gianoutsos,other,1758,311441,0.005644728857151114
2016,Alaska,AK,statewide,False,Ray Metcalfe,democrat,36200,311441,0.11623389341801497
2016,Alaska,AK,statewide,False,Margaret Stock,other,41194,311441,0.1322690333000472
2016,Alaska,AK,statewide,False,Breck A. Craig,other,2609,311441,0.00837718861678456
2016,Alaska,AK,statewide,False,Lisa Murkowski,republican,138149,311441,0.44358000391727487
2016,Alaska,AK,statewide,False,,other,706,311441,0.0022668820097546567
2016,Arizona,AZ,statewide,False,Anthony Camboni,other,45,2530730,1.7781430654396162e-05
2016,Arizona,AZ,statewide,False,Ann Kirkpatrick,democrat,1031245,2530730,0.4074891434487282
2016,Arizona,AZ,statewide,False,,other,4,2530730,1.5805716137241033e-06
2016,Arizona,AZ,statewide,False,,other,694,2530730,0.0002742291749811319
2016,Arizona,AZ,statewide,False,Leonard Clark,other,83,2530730,3.279686098477514e-05
2016,Arizona,AZ,statewide,False,Sydney Dudikoff,republican,494,2530730,0.00019520059429492675
2016,Arizona,AZ,statewide,False,,other,34,2530730,1.3434858716654879e-05
2016,Arizona,AZ,statewide,False,John McCain,republican,1359267,2530730,0.5371047089179802
2016,Arizona,AZ,statewide,False,,other,223,2530730,8.811686746511876e-05
2016,Arizona,AZ,statewide,False,,other,7,2530730,2.766000324017181e-06
2016,Arizona,AZ,statewide,False,Gary Swing,other,138634,2530730,0.05478024127425683
2016,Arkansas,AR,statewide,False,John Boozman,republican,661984,1107522,0.5977163433322318
2016,Arkansas,AR,statewide,False,,other,1070,1107522,0.000966120763289578
2016,Arkansas,AR,statewide,False,Conner Eldridge,democrat,400602,1107522,0.36171019627601075
2016,Arkansas,AR,statewide,False,Frank Gilbert,other,43866,1107522,0.03960733962846788
2016,California,CA,statewide,False,Loretta Sanchez,democrat,4701417,12244170,0.3839718821283925
2016,California,CA,statewide,False,Kamala D. Harris,democrat,7542753,12244170,0.6160281178716075
2016,Colorado,CO,statewide,False,Paul Noel Fiorino,other,3216,2743023,0.0011724291046775765
2016,Colorado,CO,statewide,False,Dan Chapin,other,8361,2743023,0.0030480969353884383
2016,Colorado,CO,statewide,False,Michael F. Bennet,democrat,1370710,2743023,0.4997078041270525
2016,Colorado,CO,statewide,False,Lily Tang Williams,other,99277,2743023,0.03619255106501112
2016,Colorado,CO,statewide,False,Bill Hammons,other,9336,2743023,0.003403544191937144
2016,Colorado,CO,statewide,False,Darryl Glenn,republican,1215318,2743023,0.4430578963428305
2016,Colorado,CO,statewide,False,Arn Menconi,other,36805,2743023,0.013417678233102675
2016,Connecticut,CT,statewide,False,Richard Blumenthal,democrat,920766,1596276,0.5768213015794261
2016,Connecticut,CT,statewide,False,Richard Blumenthal,other,87948,1596276,0.055095735323966534
2016,Connecticut,CT,statewide,False,,other,26,1596276,1.6287910110782847e-05
2016,Connecticut,CT,statewide,False,Dan Carter,republican,552621,1596276,0.34619389128195877
2016,Connecticut,CT,statewide,False,,other,12,1596276,7.517496974207468e-06
2016,Connecticut,CT,statewide,False,Richard Lion,other,18190,1596276,0.011395272496736154
2016,Connecticut,CT,statewide,False,Jeffery Russell,other,16713,1596276,0.01046999391082745
2016,Florida,FL,statewide,False,Charles Frederick Tolbert,other,56,9301820,6.02032720478358e-06
2016,Florida,FL,statewide,False,Steven Machat,other,26918,9301820,0.002893842280327936
2016,Florida,FL,statewide,False,,other,7,9301820,7.525409005979475e-07
2016,Florida,FL,statewide,False,Patrick Murphy,democrat,4122088,9301820,0.44314854512342744
2016,Florida,FL,statewide,False,Paul Stanton,other,196956,9301820,0.02117392080259562
2016,Florida,FL,statewide,False,Basil E. Dalack,other,22236,9301820,0.0023904999236708515
2016,Florida,FL,statewide,False,,other,50,9301820,5.375292147128196e-06
2016,Florida,FL,statewide,False,,other,10,9301820,1.0750584294256393e-06
2016,Florida,FL,statewide,False,,other,37,9301820,3.9777161888748655e-06
2016,Florida,FL,statewide,False,Bruce Nathan,other,52451,9301820,0.005638788968180421
2016,Florida,FL,statewide,False,Marco Rubio,republican,4835191,9301820,0.5198112842432986
2016,Florida,FL,statewide,False,Tony Khoury,other,45820,9301820,0.004925917723628279
2016,Georgia,GA,statewide,False,,other,813,3898605,0.00020853613023119808
2016,Georgia,GA,statewide,False,Jim Barksdale,democrat,1599726,3898605,0.4103329267776551
2016,Georgia,GA,statewide,False,Allen Buckley,other,162260,3898605,0.04162001536447011
2016,Georgia,GA,statewide,False,Johnny Isakson,republican,2135806,3898605,0.5478385217276436
2016,Hawaii,HI,statewide,False,Blank Vote,other,20763,437664,0.04744050230313665
2016,Hawaii,HI,statewide,False,"John M. ""Raghu"" Giuffre",other,1393,437664,0.0031828069020984136
2016,Hawaii,HI,statewide,False,Joy J. Allison,other,9103,437664,0.020799060466476567
2016,Hawaii,HI,statewide,False,Michael A. Kokoski,other,6809,437664,0.015557596695181692
2016,Hawaii,HI,statewide,False,Brian Schatz,democrat,306604,437664,0.7005465379834759
2016,Hawaii,HI,statewide,False,Over Vote,other,339,437664,0.0007745667909629304
2016,Hawaii,HI,statewide,False,John Carroll,republican,92653,437664,0.21169892885866784
2016,Idaho,ID,statewide,False,Ray J. Writz,other,41677,678943,0.061385123640718
2016,Idaho,ID,statewide,False,Mike Crapo,republican,449017,678943,0.6613471233962203
2016,Idaho,ID,statewide,False,Jerry Sturgill,democrat,188249,678943,0.2772677529630617
2016,Illinois,IL,statewide,False,Scott Summers,other,117619,5491878,0.02141689964707883
2016,Illinois,IL,statewide,False,Kenton McMillen,other,175988,5491878,0.03204514011418316
2016,Illinois,IL,statewide,False,,other,42,5491878,7.647657140235089e-06
2016,Illinois,IL,statewide,False,Mark Kirk,republican,2184692,5491878,0.3978041755479637
2016,Illinois,IL,statewide,False,Tammy Duckworth,democrat,3012940,5491878,0.5486174310499978
2016,Illinois,IL,statewide,False,,other,77,5491878,1.4020704757097663e-05
2016,Illinois,IL,statewide,False,,other,106,5491878,1.9301229925355224e-05
2016,Illinois,IL,statewide,False,,other,408,5491878,7.429152650514086e-05
2016,Illinois,IL,statewide,False,,other,5,5491878,9.104353738375106e-07
2016,Illinois,IL,statewide,False,,other,1,5491878,1.8208707476750212e-07
2016,Indiana,IN,statewide,False,Evan Bayh,democrat,1158947,2732546,0.4241271693138926
2016,Indiana,IN,statewide,False,Todd C. Young,republican,1423991,2732546,0.5211224257523935
2016,Indiana,IN,statewide,False,Lucy Brenton,other,149481,2732546,0.05470392813149349
2016,Indiana,IN,statewide,False,,other,127,2732546,4.647680222034689e-05
2016,Iowa,IA,statewide,False,Chuck Grassley,republican,926007,1541036,0.6008990056040222
2016,Iowa,IA,statewide,False,Patty Judge,democrat,549460,1541036,0.356552345305366
2016,Iowa,IA,statewide,False,Michael Luick-Thrams,other,4441,1541036,0.0028818275497782013
2016,Iowa,IA,statewide,False,,other,1685,1541036,0.001093420270519313
2016,Iowa,IA,statewide,False,Charles Aldrich,other,41794,1541036,0.02712071619352176
2016,Iowa,IA,statewide,False,Jim Hennager,other,17649,1541036,0.011452685076792495
2016,Kansas,KS,statewide,False,Patrick Wiesner,democrat,379740,1177922,0.3223812782170636
2016,Kansas,KS,statewide,False,,other,46,1177922,3.9051821767485456e-05
2016,Kansas,KS,statewide,False,Robert D. Garrard,other,65760,1177922,0.05582712607456181
2016,Kansas,KS,statewide,False,Jerry Moran,republican,732376,1177922,0.6217525438866071
2016,Kentucky,KY,statewide,False,Rand Paul,republican,1090177,1903465,0.5727328845027359
2016,Kentucky,KY,statewide,False,,other,6,1903465,3.152146217555878e-06
2016,Kentucky,KY,statewide,False,Jim Gray,democrat,813246,1903465,0.4272450504737413
2016,Kentucky,KY,statewide,False,,other,36,1903465,1.891287730533527e-05
2016,Louisiana,LA,statewide,False,"Charles W. Boustany, Jr.",republican,298008,1997218,0.1492115532705994
2016,Louisiana,LA,statewide,False,Derrick Edwards,democrat,51774,1997218,0.025923058975034274
2016,Louisiana,LA,statewide,False,"M. V. ""Vinny""Mendoza",democrat,4927,1997218,0.002466931501718891
2016,Louisiana,LA,statewide,False,John Fleming,republican,204026,1997218,0.10215509774095767
